1,Juan Perez,12345678A,1944.43,1442.79,1990.78,1561.35,1737.7,1429.75,1291.36,1999.66,1700.1,1540.2,1325.38,1529.11
2,Maria Garcia,87654321B,1264.75,1222.6,1277.15,1920.55,1957.11,1803.03,1672.74,1268.52,1746.76,1760.83,1260.0,1649.67
3,Pedro Rodriguez,12398745C,1642.53,1261.34,1853.15,1985.71,1607.71,1570.55,1990.82,1223.45,1872.94,1258.15,1469.84,1538.92
4,Laura Sanchez,87451236D,1350.12,1802.77,1855.52,1492.26,1901.46,1945.11,1732.15,1704.4,1693.57,1291.74,1746.12,1896.26
5,Javier Lopez,74951238E,1567.25,1254.31,1406.81,1625.61,1679.6,1416.06,1549.27,1376.24,1225.42,1849.45,1725.57,1398.83
6,Ana Fernandez,98234567F,1421.25,1565.74,1380.05,1672.2,1535.64,1359.53,1477.26,1548.2,1575.3,1418.2,1689.22,1263.19
7,Miguel Torres,34567821G,1687.56,1398.09,1312.32,1943.42,1415.27,1626.59,1372.16,1201.18,1241.02,1471.15,1288.11,1513.21
8,Lucia Martin,54872345H,1583.49,1923.19,1207.53,1892.33,1359.37,1677.09,1482.94,1907.67,1800.14,1441.4,1753.71,1278.71
9,Raul Gonzalez,67543218I,1413.86,1501.39,1307.05,1662.54,1607.58,1459.15,1831.38,1873.5,1537.37,1409.51,1338.64,1218.75
10,Carmen Ruiz,32458769J,1227.95,1366.99,1520.02,1503.0,1905.49,1341.04,1313.11,1750.04,1412.27,1264.01,1796.83,1208.3
11,Sergio Hernandez,82736451K,1723.11,1608.09,1693.5,1752.12,1359.06,1584.63,1945.9,1560.09,1894.65,1501.29,1250.47,1946.22
12,Sofia Morales,92748365L,1980.76,1559.42,1665.87,1239.31,1956.12,1506.21,1679.73,1250.32,1995.89,1713.06,1404.27,1537.19
13,David Castillo,43658729M,1246.99,1633.69,1685.24,1971.1,1725.2,1402.66,1846.51,1427.46,1700.14,1366.85,1556.12,1769.83
14,Isabel Ortega,98237465N,1669.9,1799.42,1287.82,1664.1,1827.88,1328.19,1865.52,1355.17,1550.12,1716.81,1816.09,1357.56
15,Manuel Vega,12387594O,1282.35,1369.73,1719.57,1856.16,1681.62,1888.49,1833.88,1882.75,1968.18,1989.37,1384.46,1228.46
16,Paula Rojas,76543218P,1569.08,1498.93,1447.65,1971.84,1485.8,1776.61,1519.8,1646.94,1993.85,1369.97,1852.34,1644.92
17,Ruben Gimenez,12983756Q,1283.26,1390.73,1846.5,1637.78,1874.45,1206.42,1639.45,1631.81,1694.93,1574.61,1477.08,1303.23
18,Adriana Ramos,67834512R,1377.95,1703.83,1956.74,1938.0,1845.05,1307.16,1736.76,1992.04,1360.23,1721.51,1447.63,1807.99
19,Jose Ibanez,98237645S,1794.25,1597.77,1303.23,1968.9,1413.34,1723.96,1298.5,1938.95,1307.32,1425.51,1693.49,1835.71
20,Claudia Pardo,78452139T,1398.1,1693.86,1721.95,1998.03,1820.11,1326.65,1325.61,1658.16,1940.0,1919.73,1804.19,1896.34
21,Vicente Varela,92387546U,1583.96,1533.25,1383.72,1550.4,1966.53,1661.29,1244.68,1872.73,1365.57,1766.14,1314.32,1671.22
22,Andrea Gutierrez,34827619V,1964.17,1295.85,1916.06,1440.54,1480.51,1985.36,1981.96,1784.61,1833.01,1748.62,1772.66,1450.37
23,Fernando Serrano,23879456W,1538.52,1201.25,1912.49,1538.05,1617.21,1610.25,1835.55,1722.05,1678.7,1249.19,1852.05,1211.5
24,Beatriz Diaz,87236451X,1589.46,1344.64,1582.39,1298.98,1872.73,1831.22,1869.71,1290.28,1567.48,1790.13,1470.04,1377.86
25,Diego Romero,94738265Y,1674.2,1327.63,1832.21,1814.94,1940.72,1957.26,1918.31,1566.94,1392.22,1281.61,1878.57,1861.25
